Date,Value
01-1997,5.25
02-1997,2.86
03-1997,2.95
04-1997,3.45
05-1997,3.57
06-1997,3.47
07-1997,3.56
08-1997,4.29
09-1997,4.7
10-1997,5.1
11-1997,3.97
12-1997,3.6
01-1998,3.31
02-1998,3.53
03-1998,3.69
04-1998,3.44
05-1998,3.3
06-1998,3.75
07-1998,2.9
08-1998,2.52
09-1998,3.48
10-1998,3.12
11-1998,2.55
12-1998,3.05
01-1999,2.85
02-1999,2.54
03-1999,3.14
04-1999,3.47
05-1999,3.53
06-1999,3.61
07-1999,3.92
08-1999,4.35
09-1999,3.53
10-1999,4.2
11-1999,3.38
12-1999,3.5
01-2000,4.08
02-2000,4
03-2000,4.31
04-2000,4.62
05-2000,6.75
06-2000,6.48
07-2000,5.56
08-2000,7.05
09-2000,7.52
10-2000,6.43
11-2000,9.28
12-2000,15.43
01-2001,8.53
02-2001,7.65
03-2001,7.78
04-2001,6.85
05-2001,5.37
06-2001,4.19
07-2001,4.78
08-2001,3.1
09-2001,2.59
10-2001,4.42
11-2001,2.64
12-2001,3.48
01-2002,3.3
02-2002,3.59
03-2002,4.56
04-2002,5.2
05-2002,4.49
06-2002,4.56
07-2002,4.29
08-2002,4.42
09-2002,5.79
10-2002,6.2
11-2002,5.92
12-2002,6.5
01-2003,7.87
02-2003,15.12
03-2003,6.97
04-2003,7.32
05-2003,8.36
06-2003,7.4
07-2003,6.45
08-2003,6.75
09-2003,6.44
10-2003,5.51
11-2003,6.75
12-2003,8.01
01-2004,8.02
02-2004,7.25
03-2004,7.7
04-2004,7.91
05-2004,8.74
06-2004,8.14
07-2004,8.15
08-2004,6.81
09-2004,8.58
10-2004,8.63
11-2004,9.11
12-2004,8.1
01-2005,8.25
02-2005,8.84
03-2005,9.88
04-2005,8.74
05-2005,8.32
06-2005,9.23
07-2005,10.17
08-2005,16.55
09-2005,19.11
10-2005,15.66
11-2005,15.2
12-2005,12.4
01-2006,11.28
02-2006,8.62
03-2006,8.95
04-2006,8.44
05-2006,7.55
06-2006,7.37
07-2006,10.12
08-2006,7.28
09-2006,4.62
10-2006,8.43
11-2006,10.57
12-2006,6.98
01-2007,9.82
02-2007,9.1
03-2007,9.35
04-2007,9.55
05-2007,9.61
06-2007,7.87
07-2007,8.03
08-2007,6.76
09-2007,7.56
10-2007,8.93
11-2007,8.89
12-2007,8.67
01-2008,9.83
02-2008,11.01
03-2008,11.83
04-2008,12.89
05-2008,13.51
06-2008,15.45
07-2008,10.78
08-2008,9.63
09-2008,8.4
10-2008,7.31
11-2008,7.75
12-2008,6.86
01-2009,5.79
02-2009,4.88
03-2009,4.31
04-2009,3.9
05-2009,4.7
06-2009,4.42
07-2009,3.97
08-2009,2.87
09-2009,3.85
10-2009,4.87
11-2009,5.22
12-2009,6.9
01-2010,6.22
02-2010,5.63
03-2010,4.63
04-2010,4.63
05-2010,5.06
06-2010,5.32
07-2010,5.65
08-2010,4.46
09-2010,4.52
10-2010,3.93
11-2010,4.87
12-2010,4.93
01-2011,5.14
02-2011,4.55
03-2011,4.95
04-2011,5.14
05-2011,5.25
06-2011,4.86
07-2011,4.83
08-2011,4.49
09-2011,4.15
10-2011,4.14
11-2011,4
12-2011,3.38
01-2012,2.84
02-2012,2.75
03-2012,2.23
04-2012,2.34
05-2012,2.61
06-2012,3.06
07-2012,3.58
08-2012,3.02
09-2012,3.41
10-2012,3.87
11-2012,3.85
12-2012,3.83
01-2013,3.7
02-2013,3.84
03-2013,4.43
04-2013,4.74
05-2013,4.42
06-2013,3.92
07-2013,3.8
08-2013,3.91
09-2013,3.81
10-2013,3.92
11-2013,4.25
12-2013,4.74
01-2014,5.52
02-2014,5.24
03-2014,4.86
04-2014,5.17
05-2014,4.84
06-2014,4.72
07-2014,4.06
08-2014,4.35
09-2014,4.45
10-2014,4.12
11-2014,4.67
12-2014,3.43
01-2015,3.16
02-2015,3.04
03-2015,2.88
04-2015,2.77
05-2015,2.99
06-2015,3
07-2015,2.96
08-2015,2.9
09-2015,2.66
10-2015,2.13
11-2015,2.28
12-2015,2.47
01-2016,2.46
02-2016,1.75
03-2016,2.13
04-2016,2.02
05-2016,2.26
06-2016,3.13
07-2016,3.16
08-2016,3.14
09-2016,3.01
10-2016,3.02
11-2016,3.52
12-2016,3.94
01-2017,3.17
02-2017,2.67
03-2017,3.29
04-2017,3.35
05-2017,3.19
06-2017,3.12
07-2017,3
08-2017,3.05
09-2017,3.05
10-2017,2.95
11-2017,3.18
12-2017,3.83
01-2018,3.45
02-2018,2.74
03-2018,2.88
04-2018,2.81
05-2018,2.99
06-2018,3.01
07-2018,2.87
08-2018,3.03
09-2018,3.06
10-2018,3.35
11-2018,4.68
12-2018,3.32
01-2019,2.87
02-2019,2.93
03-2019,2.75
04-2019,2.6
05-2019,2.59
06-2019,2.42
07-2019,2.33
